860 850
407 756
21 615
707 54
250 684
161 443
448 147
484 97
984 634
80 538
244 327
743 737
27 232
67 289
550 563
184 572
640 401
463 792
90 279
405 569
519 817
28 795
473 915
890 610
458 187
528 23
266 554
643 194
396 402
234 950
331 983
224 986
789 710
349 566
373 735
707 431
648 470
103 684
693 449
114 226
261 502
21 852
245 289
131 720
784 167
166 962
550 856
626 622
18 34
39 897
727 787
74 864
914 705
83 809
412 533
416 351
311 81
345 164
4 670
278 492
242 374
947 639
723 760
110 348
754 895
589 350
768 98
463 681
736 307
291 604
296 888
599 219
855 195
8 866
363 444
134 389
109 937
497 618
713 94
887 647
125 624
249 267
130 945
93 740
941 911
406 106
715 960
51 468
620 140
914 464
885 670
944 175
75 994
205 536
719 868
20 806
71 724
64 524
360 875
170 706
108 423
90 621
178 842
918 297
15 299
296 594
194 243
163 728
113 834
661 459
930 48
70 138
74 592
391 664
910 894
12 95
608 740
45 943
597 300
414 650
7 269
919 776
329 246
463 250
781 880
56 34
525 488
5 760
674 256
109 230
308 327
854 673
630 565
438 250
170 679
425 948
391 925
334 823
584 722
148 256
709 98
944 579
493 532
774 208
40 755
885 14
325 650
513 46
832 583
392 819
711 380
422 251
191 868
216 118
936 494
649 585
778 248
570 525
253 628
112 157
537 99
623 52
499 658
61 120
582 140
42 631
23 182
228 352
329 195
198 830
231 929
617 309
872 227
404 857
418 359
944 511
257 641
726 608
431 58
709 645
314 779
824 782
329 413
410 660
545 844
250 873
359 377
191 680
59 381
323 385
372 673
248 13
637 94
455 330
851 116
290 297
433 945
28 280
952 391
379 772
839 316
36 135
246 663
70 55
811 82
105 659
252 804
988 847
353 441
824 320
959 801
499 900
583 763
283 658
118 861
446 697
194 36
459 539
957 695
599 956
701 304
207 432
682 197
131 71
642 510
509 809
2 139
102 268
672 915
276 733
520 403
932 902
288 979
778 712
358 931
179 557
507 458
104 72
812 661
439 837
178 107
537 269
427 390
308 303
9 510
155 531
122 160
365 449
359 546
847 883
774 168
250 361
933 801
207 307
75 277
483 373
68 474
91 813
293 250
6 35
303 327
141 667
320 106
81 718
704 881
589 10
291 651
483 137
602 535
541 651
233 196
719 238
236 129
144 818
74 78
162 775
793 337
588 135
887 889
891 80
442 330
562 689
984 901
101 294
705 87
515 578
13 580
811 120
933 673
646 993
988 883
121 737
537 165
466 358
946 333
119 880
218 174
246 413
241 521
525 317
815 717
234 4
707 845
306 141
333 474
446 426
379 857
199 298
512 199
652 614
215 38
286 424
946 779
551 446
142 849
764 552
437 447
568 460
203 76
365 462
247 465
785 752
815 666
33 453
387 421
258 875
500 762
266 836
154 264
259 156
214 83
233 102
231 968
791 825
63 560
709 461
885 420
192 281
105 399
192 893
